Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,426.619995,429.600006,425.820007,429.130005,423.004425,61952800
2023-06-09,429.959991,431.989990,428.869995,429.899994,423.763428,85742800
2023-06-12,430.920013,433.880005,430.170013,433.799988,427.607758,76104300
2023-06-13,435.320007,437.329987,434.630005,436.660004,430.426941,95899700
2023-06-14,437.010010,439.059998,433.589996,437.179993,430.939484,100612100
2023-06-15,436.329987,443.899994,436.230011,442.600006,436.282135,110303100
2023-06-16,443.019989,443.609985,438.970001,439.459991,434.796051,114121300
2023-06-20,437.450012,438.369995,435.029999,437.179993,432.540253,76160400
2023-06-21,436.160004,436.989990,434.329987,434.940002,430.324036,76982300
2023-06-22,433.950012,436.619995,433.600006,436.510010,431.877411,70637200
2023-06-23,432.929993,435.059998,432.470001,433.209991,428.612366,92074500
2023-06-26,432.619995,434.609985,431.190002,431.440002,426.861206,72823600
2023-06-27,432.350006,436.809998,431.880005,436.170013,431.541016,72813700
2023-06-28,435.049988,437.440002,434.410004,436.390015,431.758698,75636000
2023-06-29,435.959991,438.279999,435.540009,438.109985,433.460388,67882300
2023-06-30,441.440002,444.299988,441.109985,443.279999,438.575531,104921500
2023-07-03,442.920013,444.079987,442.630005,443.790009,439.080139,32793400
2023-07-05,441.910004,443.890015,441.899994,443.130005,438.427124,58418400
2023-07-06,439.420013,440.100006,437.059998,439.660004,434.993958,80658300
2023-07-07,438.630005,442.640015,438.299988,438.549988,433.895721,86076100
2023-07-10,438.179993,439.839996,437.589996,439.660004,434.993958,62443500
2023-07-11,440.450012,442.970001,439.440002,442.459991,437.764221,64463800
2023-07-12,446.390015,447.480011,444.910004,446.019989,441.286438,91924500
2023-07-13,447.899994,450.380005,447.450012,449.559998,444.788879,72425200
2023-07-14,450.480011,451.359985,448.489990,449.279999,444.511871,69761800
2023-07-17,449.130005,451.929993,449.079987,450.839996,446.055298,52680200
2023-07-18,450.500000,454.859985,450.049988,454.190002,449.369751,80744400
2023-07-19,455.010010,456.429993,454.109985,455.200012,450.369049,65891700
2023-07-20,454.170013,455.100006,451.440002,452.179993,447.381042,70591600
2023-07-21,453.959991,454.170013,452.170013,452.179993,447.381042,71245400
2023-07-24,453.369995,455.040009,452.299988,454.200012,449.379669,54023400
2023-07-25,453.920013,456.739990,453.869995,455.440002,450.606476,55191200
2023-07-26,454.470001,456.989990,453.380005,455.510010,450.675751,71052900
2023-07-27,459.019989,459.440002,451.549988,452.489990,447.687775,92194400
2023-07-28,455.880005,457.779999,452.489990,456.920013,452.070770,80011800
2023-07-31,457.410004,458.160004,456.049988,457.790009,452.931549,62040400
2023-08-01,456.269989,457.250000,455.489990,456.480011,451.635437,55291500
2023-08-02,453.250000,453.519989,449.350006,450.130005,445.352844,93933400
2023-08-03,448.040009,450.790009,447.369995,448.839996,444.076508,64276100
2023-08-04,450.720001,452.899994,446.269989,446.809998,442.068054,100052300
2023-08-07,448.709991,450.869995,447.989990,450.709991,445.926697,58357500
2023-08-08,448.079987,450.700012,445.269989,448.750000,443.987488,71361300
2023-08-09,449.029999,449.200012,444.959991,445.750000,441.019318,78789600
2023-08-10,448.190002,451.700012,444.700012,445.910004,441.177612,93005500
2023-08-11,443.970001,446.700012,443.350006,445.649994,440.920349,68664600
2023-08-14,444.700012,448.109985,444.380005,448.109985,443.354248,47867400
2023-08-15,446.269989,446.640015,442.299988,442.890015,438.189697,75707500
2023-08-16,442.459991,444.179993,439.529999,439.640015,434.974213,80107200
2023-08-17,441.160004,441.429993,435.750000,436.290009,431.659729,95711300
2023-08-18,433.369995,437.570007,433.010010,436.500000,431.867493,98758400
2023-08-21,437.549988,440.109985,435.320007,439.339996,434.677338,68719000
2023-08-22,441.179993,441.179993,437.570007,438.149994,433.500000,65062900
2023-08-23,439.250000,443.670013,439.100006,443.029999,438.328186,68441000
2023-08-24,444.690002,445.220001,436.859985,436.890015,432.253357,88517300
2023-08-25,438.679993,441.299988,435.000000,439.970001,435.300659,102325100
2023-08-28,442.239990,443.399994,439.970001,442.760010,438.061066,61595400
2023-08-29,442.649994,449.450012,442.459991,449.160004,444.393158,83081900
2023-08-30,449.510010,451.670013,448.779999,451.010010,446.223480,69053900
2023-08-31,451.649994,452.829987,450.160004,450.350006,445.570496,66084600
2023-09-01,453.170013,453.670013,449.679993,451.190002,446.401581,58875700
2023-09-05,450.730011,451.059998,449.170013,449.239990,444.472260,55166200
2023-09-06,448.399994,448.510010,443.809998,446.220001,441.484344,70758500
